course_id,course_name,course_description,product_family,category,difficulty,keywords,estimated_time_minutes,prerequisite_courses,related_courses,created_date,Link,
C039,Galaxy A 기초 다지기: 실전 가이드,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy A,제품 기초,중,#게이밍 #멀티태스킹 #앱최적화 #컴팩트디자인,33,,,2023-07-26,https://www.samsung.com/sec/watches/all-watches/,
C040,Galaxy A 보안 & 편의: 사례 중심 학습,고객 유형별 페르소나를 기반으로 제품 심화 기능 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,Galaxy A,제품 심화 기능,중,#디지털마케팅 #업무효율 #클로징 #플렉스윈도우,60,,C032,2024-01-03,https://www.samsung.com/sec/buds/all-buds/,
C041,Galaxy A 카메라 심화: 현장 적용 팁,고객 유형별 페르소나를 기반으로 제품 심화 기능 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,Galaxy A,제품 심화 기능,중,#고객만족 #상담스킬 #인물사진 #트렌드 #판매전략,36,C014,"C025, C035",2023-08-02,https://www.samsung.com/sec/rings/all-rings/,
C042,Galaxy S 첫걸음: 실전 가이드,실제 상담 시나리오와 데모 흐름을 통해 Galaxy S의 강점을 자연스럽게 드러내는 방법을 익힙니다.,Galaxy S,제품 기초,하,#Z세대 #디스플레이 #트렌드 #폴더블,45,,C020,2024-09-20,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C043,Galaxy A 배터리 최적화: 사례 중심 학습,고객 유형별 페르소나를 기반으로 제품 심화 기능 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,Galaxy A,제품 심화 기능,중,#ProMode #클레임 #판매전략 #폼팩터 #플렉스윈도우,33,,"C029, C032, C039",2023-01-31,https://www.samsung.com/sec/smartphones/all-smartphones/,
C044,경쟁사 대응,고객 유형별 페르소나를 기반으로 영업 전략 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,공통,영업 전략,중,#Z세대 #업무효율 #폴더블,24,C020,"C017, C028",2023-06-01,https://www.samsung.com/sec/tablets/all-tablets/,
C045,Galaxy Z 라인업 비교: 현장 적용 팁,실제 상담 시나리오와 데모 흐름을 통해 Galaxy Z의 강점을 자연스럽게 드러내는 방법을 익힙니다.,Galaxy Z,제품 기초,하,#A시리즈 #상담스킬 #생산성 #야간모드 #카메라전문가,35,C016,,2023-03-07,https://www.samsung.com/sec/watches/all-watches/,
C046,Galaxy A 디스플레이 활용: 사례 중심 학습,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy A,제품 심화 기능,하,#카메라전문가 #클로징 #폴더블,41,C012,C019,2024-04-21,https://www.samsung.com/sec/buds/all-buds/,
C047,Galaxy S 카메라 심화: AtoZ,고객 유형별 페르소나를 기반으로 제품 심화 기능 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,Galaxy S,제품 심화 기능,상,#컴팩트디자인 #크로스셀링,59,"C031, C035",,2024-12-29,https://www.samsung.com/sec/rings/all-rings/,
C048,Galaxy S 핵심 기능 이해: AtoZ,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy S,제품 기초,상,#AI카메라 #OneUI #고객만족 #브랜드 #판매전략,42,,"C019, C032, C045",2023-05-05,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C049,Galaxy A 라인업 비교: 사례 중심 학습,경쟁 제품 대비 차별화 요소를 정량/정성 데이터로 설명하는 법을 연습합니다.,Galaxy A,제품 기초,하,#고객만족 #멀티태스킹 #업무효율 #업셀링 #크로스셀링,37,C025,"C026, C041",2024-07-18,https://www.samsung.com/sec/smartphones/all-smartphones/,
C050,Galaxy S 카메라 심화: 현장 적용 팁,경쟁 제품 대비 차별화 요소를 정량/정성 데이터로 설명하는 법을 연습합니다.,Galaxy S,제품 심화 기능,중,#서클투서치 #트렌드,44,,C031,2024-07-31,https://www.samsung.com/sec/tablets/all-tablets/,
C051,Galaxy S 디스플레이 활용,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy S,제품 심화 기능,중,#멀티태스킹 #배터리,32,C044,,2024-09-23,https://www.samsung.com/sec/watches/all-watches/,
C052,클로징 멘트 실습: 실전 가이드,"공통의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",공통,영업 전략,중,#방수방진 #카메라전문가,36,,,2023-03-15,https://www.samsung.com/sec/buds/all-buds/,
C053,Galaxy S 프로 모드 마스터: 사례 중심 학습,실제 상담 시나리오와 데모 흐름을 통해 Galaxy S의 강점을 자연스럽게 드러내는 방법을 익힙니다.,Galaxy S,전문가 과정,중,#VOC #배터리 #브랜드 #비교분석 #클레임,72,,"C025, C026, C039",2024-06-21,https://www.samsung.com/sec/rings/all-rings/,
C054,가치 설득 스토리텔링: 사례 중심 학습,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,공통,영업 전략,중,#방수방진 #삼성페이 #카메라전문가 #폼팩터 #플래그십,41,"C026, C041",,2024-05-30,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C055,Galaxy S 디스플레이 활용: AtoZ,"Galaxy S의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy S,제품 심화 기능,중,#생산성 #폴더블,37,,,2024-09-22,https://www.samsung.com/sec/smartphones/all-smartphones/,
C056,Galaxy S 기초 다지기: AtoZ,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy S,제품 기초,하,#AI카메라 #상담스킬,36,,C041,2024-12-29,https://www.samsung.com/sec/tablets/all-tablets/,
C057,리뷰 관리: 실전 가이드,실제 상담 시나리오와 데모 흐름을 통해 공통의 강점을 자연스럽게 드러내는 방법을 익힙니다.,공통,고객 응대,하,#ExpertRAW #S펜활용 #소셜미디어 #역사 #폼팩터,43,,C056,2024-02-27,https://www.samsung.com/sec/watches/all-watches/,
C058,불만 응대 실전,고객 유형별 페르소나를 기반으로 고객 응대 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,공통,고객 응대,하,#고객만족 #야간모드,60,,"C028, C029, C045",2024-04-11,https://www.samsung.com/sec/buds/all-buds/,
C059,Galaxy S 배터리 최적화: AtoZ,경쟁 제품 대비 차별화 요소를 정량/정성 데이터로 설명하는 법을 연습합니다.,Galaxy S,제품 심화 기능,중,#VOC #생성형편집 #인물사진 #클레임 #플렉스윈도우,63,C042,,2024-06-20,https://www.samsung.com/sec/rings/all-rings/,
C060,Galaxy S 생산성 극대화: 실전 가이드,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy S,제품 심화 기능,중,#대화면 #판매전략,38,,,2023-12-07,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C061,Galaxy A 배터리 최적화: AtoZ,실제 상담 시나리오와 데모 흐름을 통해 Galaxy A의 강점을 자연스럽게 드러내는 방법을 익힙니다.,Galaxy A,제품 심화 기능,중,#브랜드 #트렌드,33,"C033, C043",C060,2023-09-25,https://www.samsung.com/sec/smartphones/all-smartphones/,
C062,Galaxy S 디스플레이 활용: AtoZ,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy S,제품 심화 기능,중,#Z세대 #폼팩터 #플래그십,47,,"C047, C060",2024-09-24,https://www.samsung.com/sec/tablets/all-tablets/,
C063,Galaxy Z 카메라 심화: 현장 적용 팁,실제 상담 시나리오와 데모 흐름을 통해 Galaxy Z의 강점을 자연스럽게 드러내는 방법을 익힙니다.,Galaxy Z,제품 심화 기능,중,#쉬운사용법 #크로스셀링 #플렉스캠,39,,,2023-01-16,https://www.samsung.com/sec/watches/all-watches/,
C064,리뷰 관리,고객 유형별 페르소나를 기반으로 고객 응대 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,공통,고객 응대,중,#삼성페이 #상담스킬,44,C040,"C034, C048",2024-10-22,https://www.samsung.com/sec/buds/all-buds/,
C065,Galaxy S 라인업 비교: 현장 적용 팁,경쟁 제품 대비 차별화 요소를 정량/정성 데이터로 설명하는 법을 연습합니다.,Galaxy S,제품 기초,상,#Z세대 #역사 #판매전략,40,,"C036, C038, C064",2024-03-11,https://www.samsung.com/sec/rings/all-rings/,
C066,Galaxy A 라인업 비교,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy A,제품 기초,하,#고객만족 #역사 #인물사진 #혁신,26,,"C041, C048",2023-03-08,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C067,Galaxy A 기초 다지기: 실전 가이드,고객 유형별 페르소나를 기반으로 제품 기초 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,Galaxy A,제품 기초,중,#멀티태스킹 #서클투서치 #컴팩트디자인 #혁신,50,,C047,2023-10-25,https://www.samsung.com/sec/smartphones/all-smartphones/,
C068,Galaxy Z 카메라 심화,실제 상담 시나리오와 데모 흐름을 통해 Galaxy Z의 강점을 자연스럽게 드러내는 방법을 익힙니다.,Galaxy Z,제품 심화 기능,중,#브랜드 #비교분석,45,,"C044, C051, C067",2024-08-18,https://www.samsung.com/sec/tablets/all-tablets/,
C069,Galaxy Z 기초 다지기,"Galaxy Z의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy Z,제품 기초,중,#AI카메라 #비교분석 #플렉스윈도우,28,,"C041, C061",2023-03-10,https://www.samsung.com/sec/watches/all-watches/,
C070,Galaxy S 프로 모드 마스터,경쟁 제품 대비 차별화 요소를 정량/정성 데이터로 설명하는 법을 연습합니다.,Galaxy S,전문가 과정,상,#A시리즈 #ExpertRAW #가성비 #역사 #클로징,58,,,2024-05-22,https://www.samsung.com/sec/buds/all-buds/,
C071,Galaxy S 프로 모드 마스터,"Galaxy S의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy S,전문가 과정,상,#고객만족 #클레임,40,,,2024-05-25,https://www.samsung.com/sec/rings/all-rings/,
C072,Galaxy A 기초 다지기: 현장 적용 팁,실제 상담 시나리오와 데모 흐름을 통해 Galaxy A의 강점을 자연스럽게 드러내는 방법을 익힙니다.,Galaxy A,제품 기초,하,#삼성페이 #폴더블 #폼팩터,29,C015,"C049, C051, C071",2024-02-20,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C073,Galaxy A 시리즈 한눈에 보기: 실전 가이드,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy A,제품 기초,하,#OneUI #ProMode #멀티태스킹 #보안 #야간모드,38,,"C056, C060, C072",2024-09-04,https://www.samsung.com/sec/smartphones/all-smartphones/,
C074,Galaxy Z 고급 문제 해결: 현장 적용 팁,실제 상담 시나리오와 데모 흐름을 통해 Galaxy Z의 강점을 자연스럽게 드러내는 방법을 익힙니다.,Galaxy Z,전문가 과정,상,#OneUI #S펜활용 #클레임 #트렌드,62,,,2023-10-31,https://www.samsung.com/sec/tablets/all-tablets/,
C075,Galaxy S 생산성 극대화: 현장 적용 팁,"Galaxy S의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy S,제품 심화 기능,중,#디스플레이 #멀티태스킹 #상담스킬 #야간모드,27,C038,,2024-09-11,https://www.samsung.com/sec/watches/all-watches/,
C076,Galaxy Z Expert RAW 완벽 가이드: AtoZ,실제 상담 시나리오와 데모 흐름을 통해 Galaxy Z의 강점을 자연스럽게 드러내는 방법을 익힙니다.,Galaxy Z,전문가 과정,상,#고객만족 #앱최적화,88,,,2024-10-01,https://www.samsung.com/sec/buds/all-buds/,
C077,Galaxy S 디스플레이 활용,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy S,제품 심화 기능,하,#보안 #소셜미디어 #플래그십,38,"C010, C025","C053, C070",2023-10-27,https://www.samsung.com/sec/rings/all-rings/,
C078,Galaxy S 생산성 극대화: AtoZ,고객 유형별 페르소나를 기반으로 제품 심화 기능 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,Galaxy S,제품 심화 기능,중,#보안 #삼성페이 #야간모드 #클레임,25,"C021, C050",C048,2023-09-05,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C079,Galaxy A 생산성 극대화,실제 상담 시나리오와 데모 흐름을 통해 Galaxy A의 강점을 자연스럽게 드러내는 방법을 익힙니다.,Galaxy A,제품 심화 기능,하,#생성형편집 #판매전략 #플래그십,53,,,2024-04-21,https://www.samsung.com/sec/smartphones/all-smartphones/,
C080,Galaxy S 카메라 심화: 실전 가이드,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy S,제품 심화 기능,중,#카메라전문가 #플렉스캠,45,"C010, C016",,2023-01-03,https://www.samsung.com/sec/tablets/all-tablets/,
C081,Galaxy S 첫걸음,경쟁 제품 대비 차별화 요소를 정량/정성 데이터로 설명하는 법을 연습합니다.,Galaxy S,제품 기초,하,#ProMode #컴팩트디자인 #판매전략,29,,"C053, C064",2024-08-25,https://www.samsung.com/sec/watches/all-watches/,
C082,Galaxy A 보안 & 편의: 현장 적용 팁,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy A,제품 심화 기능,상,#보안 #삼성페이 #인물사진 #플렉스윈도우,48,,,2024-09-11,https://www.samsung.com/sec/buds/all-buds/,
C083,니즈 파악 & 제안: 현장 적용 팁,경쟁 제품 대비 차별화 요소를 정량/정성 데이터로 설명하는 법을 연습합니다.,공통,영업 전략,중,#A시리즈 #ExpertRAW #VOC #게이밍 #인물사진,42,,,2023-05-23,https://www.samsung.com/sec/rings/all-rings/,
C084,Galaxy S 카메라 심화,"Galaxy S의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy S,제품 심화 기능,하,#A시리즈 #앱최적화 #플렉스캠,29,"C046, C050",C075,2024-02-04,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C085,Galaxy Z 시리즈 한눈에 보기: 실전 가이드,고객 유형별 페르소나를 기반으로 제품 기초 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,Galaxy Z,제품 기초,중,#멀티태스킹 #역사 #트렌드,37,"C001, C031",,2024-01-29,https://www.samsung.com/sec/smartphones/all-smartphones/,
C086,Galaxy A 기초 다지기: 실전 가이드,"Galaxy A의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy A,제품 기초,중,#보안 #생성형편집 #서클투서치 #카메라전문가 #트렌드,27,"C040, C050",,2024-08-06,https://www.samsung.com/sec/tablets/all-tablets/,
C087,Galaxy S 카메라 심화,"Galaxy S의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy S,제품 심화 기능,중,#게이밍 #생산성 #소셜미디어 #카메라전문가 #폴더블,41,,,2023-04-06,https://www.samsung.com/sec/watches/all-watches/,
